Time,Temperature,Humidity,Wind Speed,Precipitation,Description,Day
1:51pm,38,48,8,0,Mostly Cloudy,08/01/2021
2:51pm,38,51,10,0,Mostly Cloudy,08/01/2021
3:51pm,39,46,10,0,Mostly Cloudy,08/01/2021
4:51pm,37,54,8,0,Mostly Cloudy,08/01/2021
5:51pm,37,52,7,0,Mostly Cloudy,08/01/2021
6:51pm,36,57,8,0,Mostly Cloudy,08/01/2021
7:51pm,35,57,8,0,Cloudy,08/01/2021
8:51pm,34,56,13,0,Cloudy,08/01/2021
9:51pm,33,59,17,0,Mostly Cloudy,08/01/2021
10:51pm,33,52,17,0,Mostly Cloudy,08/01/2021
11:51pm,32,56,15,0,Mostly Cloudy,08/01/2021
12:51am,32,56,16,0,Cloudy,08/01/2021
1:51am,31,59,15,0,Cloudy,09/01/2021
2:51am,30,59,16,0,Mostly Cloudy,09/01/2021
3:51am,29,61,13,0,Partly Cloudy,09/01/2021
4:51am,29,58,12,0,Partly Cloudy,09/01/2021
5:51am,29,56,14,0,Partly Cloudy,09/01/2021
6:51am,29,56,14,0,Partly Cloudy,09/01/2021
7:51am,28,56,10,0,Partly Cloudy,09/01/2021
8:51am,29,54,16,0,Partly Cloudy,09/01/2021
9:51am,30,49,14,0,Fair,09/01/2021
10:51am,31,47,18,0,Partly Cloudy,09/01/2021
11:51am,32,45,23,0,Partly Cloudy / Windy,09/01/2021
12:51pm,35,44,22,0,Partly Cloudy / Windy,09/01/2021
1:51pm,36,44,24,0,Partly Cloudy / Windy,09/01/2021
2:51pm,37,41,20,0,Mostly Cloudy,09/01/2021
3:51pm,37,41,16,0,Mostly Cloudy,09/01/2021
4:51pm,37,41,12,0,Mostly Cloudy,09/01/2021
5:51pm,37,42,12,0,Mostly Cloudy,09/01/2021
6:51pm,37,42,9,0,Mostly Cloudy,09/01/2021
7:51pm,37,42,8,0,Mostly Cloudy,09/01/2021
8:51pm,37,41,12,0,Mostly Cloudy,09/01/2021
9:51pm,37,44,12,0,Mostly Cloudy,09/01/2021
10:51pm,37,44,14,0,Partly Cloudy,09/01/2021
11:51pm,36,48,12,0,Fair,09/01/2021
12:51am,36,48,16,0,Partly Cloudy,09/01/2021
1:51am,35,50,14,0,Partly Cloudy,10/01/2021
2:51am,35,52,12,0,Partly Cloudy,10/01/2021
3:51am,34,54,12,0,Partly Cloudy,10/01/2021
4:51am,33,56,12,0,Fair,10/01/2021
5:51am,33,54,10,0,Fair,10/01/2021
6:51am,33,54,8,0,Fair,10/01/2021
7:51am,32,54,10,0,Fair,10/01/2021
8:51am,32,54,16,0,Partly Cloudy,10/01/2021
9:51am,33,52,12,0,Partly Cloudy,10/01/2021
10:51am,35,52,13,0,Partly Cloudy,10/01/2021
11:51am,36,48,13,0,Partly Cloudy,10/01/2021
12:51pm,38,44,8,0,Partly Cloudy,10/01/2021
1:51pm,40,43,8,0,Partly Cloudy,10/01/2021
2:51pm,42,38,10,0,Partly Cloudy,10/01/2021
3:51pm,43,40,10,0,Fair,10/01/2021
4:51pm,42,40,7,0,Fair,10/01/2021
5:51pm,40,47,5,0,Fair,10/01/2021
6:51pm,38,53,3,0,Fair,10/01/2021
7:51pm,38,55,7,0,Fair,10/01/2021
8:51pm,37,54,7,0,Fair,10/01/2021
9:51pm,36,55,7,0,Fair,10/01/2021
10:51pm,35,57,6,0,Fair,10/01/2021
11:51pm,34,59,5,0,Fair,10/01/2021
12:51am,34,56,8,0,Partly Cloudy,10/01/2021
1:51am,33,56,9,0,Fair,11/01/2021
2:51am,32,59,5,0,Fair,11/01/2021
3:51am,31,64,5,0,Fair,11/01/2021
4:51am,31,64,3,0,Fair,11/01/2021
5:51am,31,64,0,0,Fair,11/01/2021
6:51am,31,67,3,0,Mostly Cloudy,11/01/2021
7:51am,31,64,5,0,Mostly Cloudy,11/01/2021
8:51am,31,67,0,0,Cloudy,11/01/2021
9:51am,32,64,0,0,Cloudy,11/01/2021
10:51am,33,61,5,0,Cloudy,11/01/2021
11:51am,33,61,3,0,Cloudy,11/01/2021
12:51pm,35,59,0,0,Cloudy,11/01/2021
1:51pm,35,59,10,0,Cloudy,11/01/2021
2:51pm,37,54,5,0,Cloudy,11/01/2021
3:51pm,37,52,0,0,Mostly Cloudy,11/01/2021
4:51pm,38,53,5,0,Mostly Cloudy,11/01/2021
5:51pm,38,55,0,0,Mostly Cloudy,11/01/2021
6:51pm,37,54,3,0,Mostly Cloudy,11/01/2021
7:51pm,37,57,0,0,Mostly Cloudy,11/01/2021
8:51pm,38,60,0,0,Partly Cloudy,11/01/2021
9:51pm,36,59,0,0,Partly Cloudy,11/01/2021
10:51pm,34,73,3,0,Fair,11/01/2021
11:51pm,36,67,5,0,Fair,11/01/2021
12:51am,37,57,5,0,,11/01/2021
1:51am,36,57,0,0,Fair,12/01/2021
2:51am,37,57,5,0,Fair,12/01/2021
3:51am,38,55,7,0,Fair,12/01/2021
4:51am,37,59,9,0,Fair,12/01/2021
5:51am,36,62,8,0,Fair,12/01/2021
6:51am,36,62,9,0,Fair,12/01/2021
7:51am,36,62,7,0,Partly Cloudy,12/01/2021
8:51am,36,62,8,0,Fair,12/01/2021
9:51am,38,57,10,0,Fair,12/01/2021
10:51am,39,53,8,0,Fair,12/01/2021
11:51am,41,51,12,0,Fair,12/01/2021
12:51pm,43,45,6,0,Fair,12/01/2021
1:51pm,45,40,6,0,Partly Cloudy,12/01/2021
2:51pm,45,40,6,0,Fair,12/01/2021
3:51pm,44,42,5,0,Fair,12/01/2021
4:51pm,43,47,8,0,Fair,12/01/2021
5:51pm,42,51,7,0,Fair,12/01/2021
6:51pm,41,53,5,0,Fair,12/01/2021
7:51pm,40,60,5,0,Partly Cloudy,12/01/2021
8:51pm,40,53,6,0,Partly Cloudy,12/01/2021
9:51pm,39,60,5,0,Mostly Cloudy,12/01/2021
10:51pm,38,60,6,0,Partly Cloudy,12/01/2021
11:51pm,38,57,5,0,Partly Cloudy,12/01/2021
12:51am,38,57,5,0,Partly Cloudy,12/01/2021
1:51am,37,59,0,0,Partly Cloudy,13/01/2021
2:51am,37,59,0,0,Cloudy,13/01/2021
3:51am,37,62,0,0,Cloudy,13/01/2021
4:51am,39,55,7,0,Cloudy,13/01/2021
5:51am,39,55,8,0,Cloudy,13/01/2021
6:51am,39,53,0,0,Cloudy,13/01/2021
7:51am,38,55,0,0,Cloudy,13/01/2021
8:51am,39,50,0,0,Cloudy,13/01/2021
9:51am,40,49,6,0,Cloudy,13/01/2021
10:51am,42,47,0,0,Cloudy,13/01/2021
11:51am,41,47,8,0,Cloudy,13/01/2021
12:51pm,43,43,7,0,Cloudy,13/01/2021
1:51pm,44,42,10,0,Mostly Cloudy,13/01/2021
2:51pm,44,42,8,0,Mostly Cloudy,13/01/2021
3:51pm,44,43,12,0,Cloudy,13/01/2021
4:51pm,43,45,15,0,Mostly Cloudy,13/01/2021
5:51pm,42,47,14,0,Mostly Cloudy,13/01/2021
6:51pm,42,49,12,0,Mostly Cloudy,13/01/2021
7:51pm,42,49,9,0,Mostly Cloudy,13/01/2021
8:51pm,41,51,3,0,Mostly Cloudy,13/01/2021
9:51pm,41,53,7,0,Mostly Cloudy,13/01/2021
10:51pm,42,51,7,0,Mostly Cloudy,13/01/2021
11:51pm,42,53,5,0,Cloudy,13/01/2021
12:51am,42,55,5,0,Cloudy,13/01/2021
1:51am,42,60,7,0,Cloudy,14/01/2021
2:51am,41,60,6,0,Cloudy,14/01/2021
3:51am,41,60,0,0,Cloudy,14/01/2021
4:51am,40,65,0,0,Cloudy,14/01/2021
5:51am,40,68,5,0,Cloudy,14/01/2021
6:51am,40,65,7,0,Mostly Cloudy,14/01/2021
7:51am,41,65,3,0,Mostly Cloudy,14/01/2021
8:51am,41,65,0,0,Mostly Cloudy,14/01/2021
9:51am,43,65,3,0,Mostly Cloudy,14/01/2021
10:51am,47,59,3,0,Mostly Cloudy,14/01/2021
11:51am,46,58,5,0,Mostly Cloudy,14/01/2021
12:51pm,46,58,3,0,Cloudy,14/01/2021
1:51pm,47,54,5,0,Cloudy,14/01/2021
2:51pm,49,48,5,0,Mostly Cloudy,14/01/2021
3:51pm,50,44,3,0,Mostly Cloudy,14/01/2021
4:51pm,49,46,6,0,Mostly Cloudy,14/01/2021
5:51pm,47,52,5,0,Mostly Cloudy,14/01/2021
6:51pm,44,63,6,0,Mostly Cloudy,14/01/2021
7:51pm,45,60,3,0,Mostly Cloudy,14/01/2021
8:51pm,45,63,7,0,Mostly Cloudy,14/01/2021
9:51pm,45,63,6,0,Mostly Cloudy,14/01/2021
10:51pm,44,65,7,0,Partly Cloudy,14/01/2021
11:51pm,43,68,5,0,Mostly Cloudy,14/01/2021
12:51am,43,68,6,0,Mostly Cloudy,14/01/2021
1:51am,41,70,0,0,Mostly Cloudy,15/01/2021
2:51am,39,76,3,0,Mostly Cloudy,15/01/2021
3:51am,40,77,0,0,Partly Cloudy,15/01/2021
4:51am,39,76,3,0,Partly Cloudy,15/01/2021
5:51am,39,79,6,0,Cloudy,15/01/2021
6:51am,38,83,5,0,Mostly Cloudy,15/01/2021
7:45am,39,81,7,0,Mostly Cloudy,15/01/2021
7:51am,39,82,7,0,Mostly Cloudy,15/01/2021
7:59am,39,82,12,0,Cloudy,15/01/2021
8:10am,39,82,10,0,Cloudy,15/01/2021
8:29am,39,82,12,0,Cloudy,15/01/2021
8:51am,39,82,9,0,Cloudy,15/01/2021
9:51am,40,83,10,0,Cloudy,15/01/2021
10:35am,41,82,12,0,Cloudy,15/01/2021
10:51am,41,82,14,0,Cloudy,15/01/2021
11:13am,42,79,16,0,Cloudy,15/01/2021
11:47am,39,87,16,0,Cloudy,15/01/2021
11:51am,40,83,14,0,Cloudy,15/01/2021
12:48pm,41,81,15,0,Cloudy,15/01/2021
12:51pm,41,79,14,0,Cloudy,15/01/2021
1:15pm,42,79,15,0,Cloudy,15/01/2021
1:51pm,42,76,15,0,Cloudy,15/01/2021
2:51pm,43,76,13,0,Cloudy,15/01/2021
3:51pm,44,73,12,0,Cloudy,15/01/2021
4:51pm,47,71,20,0,Cloudy,15/01/2021
5:51pm,47,74,17,0,Cloudy,15/01/2021
6:51pm,47,74,21,0,Cloudy / Windy,15/01/2021
7:13pm,47,74,21,0,Cloudy / Windy,15/01/2021
7:25pm,47,74,22,0,Cloudy / Windy,15/01/2021
7:51pm,47,74,20,0,Cloudy,15/01/2021
8:51pm,47,74,20,0,Cloudy,15/01/2021
9:29pm,46,76,16,0,Light Rain,15/01/2021
9:51pm,46,79,20,0,Light Rain,15/01/2021
10:11pm,46,79,20,0,T-Storm,15/01/2021
10:26pm,46,79,17,0,Light Rain,15/01/2021
10:51pm,46,79,16,0.1,Heavy Rain,15/01/2021
11:51pm,46,79,14,0.2,Rain,15/01/2021
12:51am,46,83,14,0.1,Light Rain,15/01/2021
1:51am,47,80,17,0,Cloudy,16/01/2021
2:51am,43,86,23,0,Light Rain / Windy,16/01/2021
2:59am,43,86,25,0,Light Rain / Windy,16/01/2021
3:13am,43,86,25,0,Light Rain / Windy,16/01/2021
3:51am,43,86,13,0.2,Heavy Rain,16/01/2021
3:57am,43,86,16,0.1,Heavy Rain,16/01/2021
4:06am,43,86,16,0.1,Rain,16/01/2021
4:51am,43,82,28,0.3,Rain / Windy,16/01/2021
5:40am,42,82,14,0.1,Rain,16/01/2021
5:51am,42,82,15,0.1,Rain,16/01/2021
6:51am,42,85,14,0.1,Rain,16/01/2021
7:40am,42,82,20,0,Light Rain,16/01/2021
7:51am,42,85,9,0,Cloudy,16/01/2021
8:04am,42,89,8,0,Cloudy,16/01/2021
8:46am,45,81,8,0,Cloudy,16/01/2021
8:51am,44,85,6,0,Cloudy,16/01/2021
9:08am,44,85,6,0,Cloudy,16/01/2021
9:51am,43,82,9,0,Cloudy,16/01/2021
10:28am,43,82,8,0,Cloudy,16/01/2021
10:51am,44,82,6,0,Cloudy,16/01/2021
11:21am,46,79,7,0,Cloudy,16/01/2021
11:51am,46,76,9,0,Mostly Cloudy,16/01/2021
12:13pm,47,77,7,0,Mostly Cloudy,16/01/2021
12:51pm,48,74,9,0,Mostly Cloudy,16/01/2021
1:51pm,48,71,9,0,Mostly Cloudy,16/01/2021
2:26pm,47,74,10,0,Mostly Cloudy,16/01/2021
2:51pm,48,68,12,0,Partly Cloudy,16/01/2021
3:51pm,48,61,18,0,Mostly Cloudy,16/01/2021
4:51pm,46,58,18,0,Mostly Cloudy,16/01/2021
5:51pm,45,58,18,0,Mostly Cloudy,16/01/2021
6:51pm,44,58,16,0,Mostly Cloudy,16/01/2021
7:51pm,43,58,20,0,Mostly Cloudy,16/01/2021
8:51pm,42,55,13,0,Partly Cloudy,16/01/2021
9:51pm,42,53,16,0,Mostly Cloudy,16/01/2021
10:51pm,41,51,16,0,Fair,16/01/2021
11:51pm,41,51,13,0,Fair,16/01/2021
12:51am,40,53,15,0,,16/01/2021
1:51am,40,53,17,0,Fair,17/01/2021
2:51am,39,55,21,0,Fair / Windy,17/01/2021
3:51am,39,57,17,0,Fair,17/01/2021
4:51am,39,57,14,0,Fair,17/01/2021
5:51am,39,57,17,0,Fair,17/01/2021
6:51am,38,60,9,0,Fair,17/01/2021
7:51am,38,57,15,0,Mostly Cloudy,17/01/2021
8:51am,38,55,17,0,Partly Cloudy,17/01/2021
9:51am,40,47,16,0,Fair,17/01/2021
10:51am,41,43,17,0,Fair,17/01/2021
11:51am,43,42,24,0,Partly Cloudy / Windy,17/01/2021
12:51pm,44,42,16,0,Mostly Cloudy,17/01/2021
1:51pm,44,43,20,0,Mostly Cloudy,17/01/2021
2:51pm,45,44,24,0,Mostly Cloudy / Windy,17/01/2021
3:51pm,46,40,17,0,Partly Cloudy,17/01/2021
4:51pm,46,42,9,0,Mostly Cloudy,17/01/2021
5:51pm,45,44,13,0,Mostly Cloudy,17/01/2021
6:51pm,45,44,13,0,Mostly Cloudy,17/01/2021
7:51pm,45,44,13,0,Mostly Cloudy,17/01/2021
8:51pm,45,42,13,0,Cloudy,17/01/2021
9:51pm,45,44,12,0,Mostly Cloudy,17/01/2021
10:51pm,45,42,16,0,Mostly Cloudy,17/01/2021
11:51pm,44,45,10,0,Cloudy,17/01/2021
12:51am,44,47,9,0,Cloudy,17/01/2021
1:51am,43,51,10,0,Cloudy,18/01/2021
2:51am,43,51,12,0,Partly Cloudy,18/01/2021
3:51am,42,53,8,0,Partly Cloudy,18/01/2021
4:51am,42,53,12,0,Partly Cloudy,18/01/2021
5:51am,42,53,12,0,Partly Cloudy,18/01/2021
6:51am,42,53,13,0,Partly Cloudy,18/01/2021
7:51am,41,55,14,0,Fair,18/01/2021
8:51am,41,55,9,0,Fair,18/01/2021
9:51am,42,55,13,0,Fair,18/01/2021
10:51am,42,55,10,0,Fair,18/01/2021
11:51am,44,49,13,0,Fair,18/01/2021
12:51pm,46,44,13,0,Mostly Cloudy,18/01/2021
1:51pm,45,44,15,0,Mostly Cloudy,18/01/2021
2:51pm,45,42,17,0,Mostly Cloudy,18/01/2021
3:51pm,46,40,18,0,Fair,18/01/2021
4:51pm,46,40,15,0,Partly Cloudy,18/01/2021
5:51pm,45,42,12,0,Partly Cloudy,18/01/2021
6:51pm,44,47,15,0,Partly Cloudy,18/01/2021
7:51pm,43,51,14,0,Mostly Cloudy,18/01/2021
8:51pm,42,51,14,0,Partly Cloudy,18/01/2021
9:51pm,41,57,12,0,Partly Cloudy,18/01/2021
10:51pm,41,57,16,0,Fair,18/01/2021
11:51pm,41,57,12,0,Mostly Cloudy,18/01/2021
12:51am,40,53,13,0,Partly Cloudy,18/01/2021
1:51am,39,53,13,0,Fair,19/01/2021
2:51am,38,55,17,0,Partly Cloudy,19/01/2021
3:51am,38,55,15,0,Mostly Cloudy,19/01/2021
4:51am,38,55,14,0,Mostly Cloudy,19/01/2021
5:51am,38,55,15,0,Mostly Cloudy,19/01/2021
6:51am,38,55,14,0,Mostly Cloudy,19/01/2021
7:51am,38,55,13,0,Mostly Cloudy,19/01/2021
8:51am,38,57,15,0,Mostly Cloudy,19/01/2021
